tsla | BTO | 2022-07-25 11:25:24.772747
tsla | STC | 2022-07-25 11:53:50.051859
tsla | STO | 2022-07-25 11:53:55.138701
tsla | BTC | 2022-07-25 12:04:21.207541
tsla | BTO | 2022-07-25 12:04:26.296451
tsla | STC | 2022-07-25 12:07:56.040047
tsla | STO | 2022-07-25 12:08:01.119130
tsla | BTC | 2022-07-25 12:29:17.426753
tsla | BTO | 2022-07-25 12:29:22.511982
tsla | STC | 2022-07-25 12:37:05.765224
tsla | STO | 2022-07-25 12:37:10.854000
tsla | BTC | 2022-07-25 12:40:52.705889
tsla | BTO | 2022-07-25 12:40:57.788540
tsla | STC | 2022-07-25 12:47:39.903262
tsla | STO | 2022-07-25 12:47:44.996773
amzn | STC | 2022-07-25 13:00:23.828047
amzn | STO | 2022-07-25 13:00:28.937010
tsla | BTC | 2022-07-25 13:18:43.848509
tsla | BTO | 2022-07-25 13:18:48.936909
tsla | STC | 2022-07-25 13:22:14.309116
tsla | STO | 2022-07-25 13:22:19.411534
sqqq | BTC | 2022-07-25 13:33:20.515585
sqqq | BTO | 2022-07-25 13:33:25.612050
sqqq | STC | 2022-07-25 13:46:30.997737
sqqq | STO | 2022-07-25 13:46:36.086759
tsla | BTC | 2022-07-25 14:15:23.150952
tsla | BTO | 2022-07-25 14:15:28.228555
tsla | STC | 2022-07-25 14:25:34.817916
tsla | STO | 2022-07-25 14:25:39.906171
tsla | BTC | 2022-07-25 15:05:31.165858
tsla | BTO | 2022-07-25 15:05:36.254136
amzn | BTC | 2022-07-25 15:36:33.539482
amzn | BTO | 2022-07-25 15:36:38.647617
tsla | STC | 2022-07-25 15:44:30.400327
tsla | STO | 2022-07-25 15:44:35.496510
tsla | BTC | 2022-07-25 15:48:00.889823
tsla | BTO | 2022-07-25 15:48:05.976522
tsla | STC | 2022-07-25 15:54:58.321481
tsla | STO | 2022-07-25 15:55:03.431265
